Category,Subcategory,URI
north-america,united-states,quic://23.184.48.86:993
north-america,united-states,quic://[2602:fc24:18:7a42::1]:993
north-america,united-states,tcp://leo.node.3dt.net:9002
north-america,united-states,tls://leo.node.3dt.net:9003
north-america,united-states,quic://leo.node.3dt.net:9004
north-america,united-states,wss://leo.node.3dt.net:9005
north-america,united-states,tcp://ygg-wa.incognet.io:8883
north-america,united-states,tls://ygg-wa.incognet.io:8884
north-america,united-states,quic://ygg-wa.incognet.io:8885
north-america,united-states,ws://ygg-wa.incognet.io:8886
north-america,united-states,tcp://marisa.nadeko.net:44441
north-america,united-states,tls://marisa.nadeko.net:44442
north-america,united-states,tcp://kisume.nadeko.net:44441
north-america,united-states,tls://kisume.nadeko.net:44442
africa,south-africa,tcp://yggdrasil.deavmi.assigned.network:2000
africa,south-africa,tls://yggdrasil.deavmi.assigned.network:2001
oceania,australia,tcp://yg-syd.magicum.net:23701
oceania,australia,tls://yg-syd.magicum.net:23700
oceania,australia,tls://syd.joel.net.au:8443
oceania,australia,tcp://yg-mel.magicum.net:23801
oceania,australia,tls://yg-mel.magicum.net:23800
oceania,australia,tls://sirsegv.moe:7676
asia,indonesia,tls://supanadit.com:15021
asia,indonesia,quic://supanadit.com:15022
asia,taiwan,tcp://ygg-tw.lxak.net:8879
asia,taiwan,tls://ygg-tw.lxak.net:8880
asia,taiwan,quic://ygg-tw.lxak.net:8881
asia,singapore,tls://asia.deinfra.org:15015
asia,singapore,quic://asia.deinfra.org:15015
asia,singapore,tcp://yg-sin.magicum.net:23901
asia,singapore,tls://yg-sin.magicum.net:23900
asia,hong-kong,tls://yg-hkg.magicum.net:32333
asia,hong-kong,tcp://yg-hkg.magicum.net:32334
asia,hong-kong,tcp://ygg5.mk16.de:1337?key=0000009611ae5391dc0aceea9f3fa6a0dc1279f4306059339e84bfb8b74d2f9b
asia,hong-kong,tls://ygg5.mk16.de:1338?key=0000009611ae5391dc0aceea9f3fa6a0dc1279f4306059339e84bfb8b74d2f9b
asia,hong-kong,quic://ygg5.mk16.de:1339?key=0000009611ae5391dc0aceea9f3fa6a0dc1279f4306059339e84bfb8b74d2f9b
asia,hong-kong,ws://ygg5.mk16.de:1340?key=0000009611ae5391dc0aceea9f3fa6a0dc1279f4306059339e84bfb8b74d2f9b
asia,japan,tls://133.18.201.69:54232
asia,japan,tls://153.120.42.137:54232
asia,japan,tls://astrra.space:55535
asia,japan,tls://yg-tyo.magicum.net:32333
asia,japan,tcp://yg-tyo.magicum.net:32334
